name,age,nationality,overall,club,preferred_foot,jersey number,contract valid until,height,weight,league,speciality
M. Knoll,27,Germany,73,FC St. Pauli,Left,5,2022,72,179,0,No Speciality
A. Bakasetas,25,Greece,73,AEK Athens,Left,14,2019,71,170,REST OF WORLD,No Speciality
M. Barrios,27,Colombia,73,FC Dallas,Right,21,2019,64,143,MLS,Speedster
S. Salcedo,20,Paraguay,73,Club Atlético Huracán,Right,6,2022,72,165,SAF,No Speciality
Perdigão,26,Brazil,73,GD Chaves,Right,10,2020,73,170,LIGA NOS,No Speciality
Galeno,20,Brazil,73,Rio Ave FC,Right,90,"Jun 30, 2019",72,159,LIGA NOS,No Speciality
Bóveda,29,Spain,73,Deportivo de La Coruña,Right,24,2021,71,170,0,No Speciality
Marc Mateu,28,Spain,73,CD Numancia,Left,21,2019,71,157,LALIGA 1 | 2 | 3,No Speciality
G. Saville,25,Northern Ireland,73,Middlesbrough,Left,6,"Jan 1, 2019",69,161,EFL CHAMPIONSHIP,Engine
R. Christie,23,Scotland,73,Celtic,Left,10,2022,70,157,SCOTTISH PREMIERSHIP,No Speciality
P. Foden,18,England,73,Manchester City,Left,47,2024,67,130,PREMIER LEAGUE,No Speciality
T. Foket,23,Belgium,73,Stade de Reims,Right,32,2023,70,179,LIGUE 1 CONFORAMA,No Speciality
P. Schiattarella,31,Italy,73,SPAL,Right,28,2019,70,161,SERIE A TIM,No Speciality
F. Sørensen,26,Denmark,73,1. FC Köln,Right,4,2021,76,194,BUNDESLIGA,No Speciality
D. Ward,25,Wales,73,Leicester City,Right,12,2022,75,194,PREMIER LEAGUE,Goalkeeper
L. Diony,25,France,73,AS Saint-Étienne,Right,9,2021,72,181,LIGUE 1 CONFORAMA,No Speciality
R. Krunić,24,Bosnia Herzegovina,73,Empoli,Right,33,2023,72,163,SERIE A TIM,No Speciality
Riesgo,34,Spain,73,SD Eibar,Right,13,2019,73,168,LALIGA SANTANDER,Goalkeeper
J. Howson,30,England,73,Middlesbrough,Right,16,2020,71,170,EFL CHAMPIONSHIP,No Speciality
J. Van Damme,34,Belgium,73,Royal Antwerp FC,Left,37,2019,75,196,PRO LEAGUE,Strength
M. Martins,31,Bolivia,73,Free Agent,Right,9,Free Agent,74,181,0,No Speciality
W. Faríñez,20,Venezuela,73,Millonarios FC,Right,1,2020,71,179,0,Goalkeeper
B. Dibassy,28,Mali,73,Amiens SC,Left,12,2021,72,163,LIGUE 1 CONFORAMA,No Speciality
T. Reginiussen,32,Norway,73,Rosenborg BK,Right,4,2019,73,176,ELITESERIEN,No Speciality
G. Rivas,29,Venezuela,73,Al Hilal,Right,11,2019,72,190,SAUDI PROFESSIONAL LEAGUE,No Speciality
Benjamin Meseira,34,Brazil,73,Chapecoense,Right,2,2021,71,165,LIGA DO BRASIL,No Speciality
C. Ninga,25,Chad,73,Stade Malherbe Caen,Right,11,2022,73,179,LIGUE 1 CONFORAMA,No Speciality
M. Suttner,31,Austria,73,Brighton & Hove Albion,Left,29,2020,70,161,PREMIER LEAGUE,No Speciality
G. van der Wiel,30,Netherlands,73,Toronto FC,Right,9,2021,72,172,MLS,No Speciality
W. González,23,Paraguay,73,Club León,Right,9,"Dec 31, 2018",73,174,0,No Speciality
T. Hořava,30,Czech Republic,73,Viktoria Plzeň,Right,12,2021,72,154,REST OF WORLD,No Speciality
P. Tachtsidis,27,Greece,73,Nottingham Forest,Left,34,2020,75,190,0,No Speciality
W. Saïd,23,France,73,Dijon FCO,Right,9,2021,67,165,LIGUE 1 CONFORAMA,No Speciality
E. Cerutti,26,Argentina,73,Independiente,Right,27,"Jun 30, 2019",70,165,SAF,No Speciality
Gustavo Lobateiro,30,Brazil,73,Internacional,Left,8,2018,71,168,LIGA DO BRASIL,No Speciality
Pere Milla,25,Spain,73,SD Eibar,Left,22,2020,70,154,LALIGA SANTANDER,No Speciality
J. Johansson,28,Sweden,73,Stade Rennais FC,Right,6,2020,74,190,LIGUE 1 CONFORAMA,Engine
T. Murg,23,Austria,73,SK Rapid Wien,Left,10,2022,68,154,Ö. BUNDESLIGA,No Speciality
J. Ramírez,25,Argentina,73,Club Atlético Talleres,Left,20,2019,69,150,0,No Speciality
F. Vicari,23,Italy,73,SPAL,Right,23,2019,75,176,SERIE A TIM,No Speciality
K. Adams Nuhu,23,Ghana,73,TSG 1899 Hoffenheim,Right,15,2023,75,183,BUNDESLIGA,Strength
P. Nardi,24,France,73,KSV Cercle Brugge,Right,1,"Jun 30, 2019",74,181,0,Goalkeeper
H. Magnússon,25,Iceland,73,PFC CSKA Moscow,Left,18,2022,75,179,REST OF WORLD,No Speciality
O. Edouard,20,France,73,Celtic,Right,22,2022,74,183,SCOTTISH PREMIERSHIP,No Speciality
D. Rice,19,Republic of Ireland,73,West Ham United,Right,41,2020,73,176,PREMIER LEAGUE,No Speciality
Evandro Rochedo,34,Brazil,73,Atlético Mineiro,Right,9,2021,74,181,LIGA DO BRASIL,No Speciality
K. Westwood,33,Republic of Ireland,73,Sheffield Wednesday,Left,1,2019,74,190,0,Goalkeeper
Bracali,37,Brazil,73,Boavista FC,Right,1,2020,73,172,LIGA NOS,Goalkeeper
M. Sperduti,32,Argentina,73,Patronato,Right,14,2023,71,161,SAF,No Speciality
Y. Gómez Andrade,26,Colombia,73,Unión de Santa Fe,Right,28,2021,74,203,0,Strength
G. Peruzzi,26,Argentina,73,Boca Juniors,Right,14,2019,70,157,SAF,No Speciality
Toni Villa,23,Spain,73,Real Valladolid CF,Right,19,2021,67,139,LALIGA SANTANDER,No Speciality
Y. Gordillo,26,Colombia,73,Independiente Santa Fe,Right,30,2019,69,161,0,No Speciality
Ricardo,31,Portugal,73,Henan Jianye FC,Right,9,2018,74,176,0,No Speciality
B. Sanneh,23,Gambia,73,RSC Anderlecht,Right,4,2023,72,165,PRO LEAGUE,Aerial Threat
Michel Cruceiro,26,Brazil,73,Atlético Mineiro,Left,13,2021,73,181,LIGA DO BRASIL,No Speciality
L. Burián,34,Uruguay,73,Club Atlético Colón,Right,1,2019,74,179,0,Goalkeeper
M. Tekdemir,30,Turkey,73,Medipol Başakşehir FK,Right,14,2021,70,150,SÜPER LIG,No Speciality
K. Lamprou,26,Greece,73,Ajax,Left,26,2019,70,185,EREDIVISIE,Goalkeeper
I. Mbaye,23,Senegal,73,Bologna,Right,15,2019,74,154,SERIE A TIM,No Speciality
A. Browne,23,Republic of Ireland,73,Preston North End,Right,8,2021,68,157,0,Engine
G. Pazzini,33,Italy,73,Hellas Verona,Right,11,2020,71,172,CALCIO B,No Speciality
Eduardo,25,Brazil,73,SC Braga,Left,11,2023,70,157,LIGA NOS,No Speciality
C. Santos,30,Venezuela,73,Deportivo de La Coruña,Left,9,2021,72,154,0,No Speciality
E. Mendy,26,Senegal,73,Stade de Reims,Right,16,2020,78,190,LIGUE 1 CONFORAMA,Goalkeeper
M. Ngadeu-Ngadjui,27,Cameroon,73,SK Slavia Praha,Right,5,2020,75,205,0,Strength
L. Mazzitelli,22,Italy,73,Genoa,Right,15,"Jun 30, 2019",72,168,SERIE A TIM,No Speciality
J. Lolley,25,England,73,Nottingham Forest,Left,23,2022,70,159,0,No Speciality
A. Traoré,29,Burkina Faso,73,Atiker Konyaspor,Left,12,2019,69,157,0,No Speciality
V. Stocker,29,Switzerland,73,FC Basel 1893,Left,14,2021,70,161,RAIFFEISEN SUPER LEAGUE,No Speciality
D. Alar,28,Austria,73,SK Rapid Wien,Left,29,2022,73,172,Ö. BUNDESLIGA,No Speciality
J. Añor,24,Venezuela,73,Málaga CF,Left,10,2021,69,148,LALIGA 1 | 2 | 3,No Speciality
A. Donis,21,Greece,73,VfB Stuttgart,Right,17,2021,70,168,BUNDESLIGA,No Speciality
M. Gazzola,33,Italy,73,Parma,Right,23,2019,72,172,SERIE A TIM,No Speciality
F. Diagne,28,Senegal,73,Atiker Konyaspor,Right,3,2020,73,172,0,No Speciality
S. Schaars,34,Netherlands,73,SC Heerenveen,Left,6,2019,70,165,EREDIVISIE,No Speciality
M. Poundjé,25,France,73,FC Girondins de Bordeaux,Left,29,2021,71,163,LIGUE 1 CONFORAMA,No Speciality
F. Hinestroza,28,Colombia,73,Rionegro Águilas,Left,17,2023,70,154,LIGA DIMAYOR,No Speciality
A. Hahn,27,Germany,73,FC Augsburg,Right,28,2022,73,174,BUNDESLIGA,Engine
V. Shepelev,21,Ukraine,73,Dynamo Kyiv,Right,8,2020,72,161,REST OF WORLD,No Speciality
M. Leitner,25,Germany,73,Norwich City,Right,10,2022,69,150,0,No Speciality
R. Skov,22,Denmark,73,FC København,Left,29,2022,72,168,SUPERLIGA,No Speciality
B. Guzan,33,United States,73,Atlanta United,Left,1,2023,76,209,MLS,Goalkeeper
M. Mitrović,24,Croatia,73,Club Brugge KV,Right,15,2022,74,187,PRO LEAGUE,No Speciality
A. Luthe,31,Germany,73,FC Augsburg,Right,1,2020,77,187,BUNDESLIGA,Goalkeeper
A. Traoré,28,Ivory Coast,73,Göztepe SK,Left,5,2019,67,161,0,No Speciality
N. Uysal,27,Turkey,73,Beşiktaş JK,Right,20,2021,71,159,SÜPER LIG,No Speciality
G. Donati,28,Italy,73,1. FSV Mainz 05,Right,2,2019,70,168,BUNDESLIGA,No Speciality
A. Ujah,27,Nigeria,73,1. FSV Mainz 05,Right,20,2021,72,179,BUNDESLIGA,No Speciality
A. Kravets,29,Ukraine,73,Kayserispor,Right,11,2021,74,174,SÜPER LIG,No Speciality
Z. Tomašević,28,Montenegro,73,KV Oostende,Left,33,2019,75,185,PRO LEAGUE,No Speciality
M. Borjan,30,Canada,73,Free Agent,Right,18,Free Agent,77,185,0,Goalkeeper
S. Lukić,21,Serbia,73,Torino,Right,7,2023,72,170,SERIE A TIM,No Speciality
C. Goldson,25,England,73,Rangers FC,Right,6,2022,75,187,0,No Speciality
Rubén Alcaraz,27,Spain,73,Real Valladolid CF,Right,14,2022,71,168,LALIGA SANTANDER,No Speciality
L. Ulloa,31,Argentina,73,Pachuca,Right,11,2019,74,196,LIGA BANCOMER MX,Strength
Iván López,24,Spain,73,Gimnàstic de Tarragona,Right,2,"Jun 30, 2019",69,152,0,No Speciality
S. Amrabat,21,Morocco,73,Club Brugge KV,Right,6,2022,72,170,PRO LEAGUE,No Speciality
M. Wöber,20,Austria,73,Ajax,Left,5,2021,74,181,EREDIVISIE,No Speciality
F. Lucioni,30,Italy,73,Lecce,Right,25,2021,73,176,CALCIO B,No Speciality
Calero,22,Spain,73,Real Valladolid CF,Right,5,2021,72,165,LALIGA SANTANDER,No Speciality
C. Marrugo,32,Colombia,73,Millonarios FC,Right,13,"Jun 30, 2019",70,165,0,No Speciality
J. Forlín,30,Argentina,73,Real Oviedo,Right,5,2019,71,163,0,No Speciality
L. Janson,23,Argentina,73,Toronto FC,Right,16,"Jun 30, 2019",67,148,MLS,No Speciality
B. Bolingoli,23,Belgium,73,SK Rapid Wien,Left,5,2021,71,161,Ö. BUNDESLIGA,No Speciality
Thiago Santana,25,Brazil,73,Santa Clara,Left,14,2019,72,174,LIGA NOS,No Speciality
K. Rausch,28,Russia,73,Free Agent,Left,19,Free Agent,72,176,0,No Speciality
N. Etheridge,28,Philippines,73,Cardiff City,Right,1,2021,75,196,PREMIER LEAGUE,Goalkeeper
Aitor Sanz,33,Spain,73,CD Tenerife,Right,16,2019,71,157,LALIGA 1 | 2 | 3,No Speciality
Frederico Venâncio,25,Portugal,73,Vitória Guimarães,Right,46,2022,73,179,0,No Speciality
M. Grujić,22,Serbia,73,Hertha BSC,Right,15,"Jun 30, 2019",75,181,BUNDESLIGA,No Speciality
M. Langerak,29,Australia,73,Nagoya Grampus,Right,22,2021,76,185,MEIJI YASUDA J1,Goalkeeper
H. Manzala,24,DR Congo,73,Angers SCO,Right,7,2022,70,157,LIGUE 1 CONFORAMA,No Speciality
Paulinho,32,Brazil,73,BK Häcken,Right,10,2019,69,165,ALLSVENSKAN,No Speciality
W. Troost-Ekong,24,Nigeria,73,Udinese,Right,5,2022,75,181,SERIE A TIM,No Speciality
D. Fagundez,23,Uruguay,73,New England Revolution,Right,14,2022,68,141,0,No Speciality
U. Demirok,29,Turkey,73,Atiker Konyaspor,Right,15,2020,75,187,0,No Speciality
R. Kruse,29,Australia,73,VfL Bochum 1848,Right,10,2019,71,146,0,No Speciality
T. Matlaba,30,South Africa,73,Orlando Pirates,Right,8,2019,67,165,REST OF WORLD,No Speciality
G. Banguera,22,Colombia,73,Atlético Huila,Right,12,2023,74,176,LIGA DIMAYOR,Goalkeeper
A. Özbiliz,28,Armenia,73,Willem II,Left,7,"Jun 30, 2019",69,159,EREDIVISIE,No Speciality
S. Al Dawsari,26,Saudi Arabia,73,Al Hilal,Right,29,2019,69,150,SAUDI PROFESSIONAL LEAGUE,No Speciality
I. Success,22,Nigeria,73,Watford,Right,10,2023,72,198,PREMIER LEAGUE,No Speciality
A. Long,25,United States,73,New York Red Bulls,Right,33,2019,73,190,0,No Speciality
M. Škoda,32,Czech Republic,73,SK Slavia Praha,Right,21,2019,75,190,0,No Speciality
A. Diakhaby,21,France,73,Huddersfield Town,Left,11,2021,74,163,PREMIER LEAGUE,No Speciality
D. Kadah,32,Turkey,73,Göztepe SK,Right,63,2020,73,176,0,No Speciality
A. Ríos,29,Mexico,73,Deportivo Toluca,Right,15,2021,68,165,0,No Speciality
J. Mateta,21,France,73,1. FSV Mainz 05,Right,9,2022,76,194,BUNDESLIGA,No Speciality
F. Cacciatore,31,Italy,73,Chievo Verona,Right,29,2020,72,187,SERIE A TIM,No Speciality
R. van Rhijn,27,Netherlands,73,AZ Alkmaar,Right,34,2019,70,159,0,No Speciality
R. Pérez,28,Colombia,73,Junior FC,Right,5,2021,73,181,0,No Speciality
A. Baumjohann,31,Germany,73,Western Sydney Wanderers,Right,10,2019,70,165,0,No Speciality
R. Elm,30,Sweden,73,Kalmar FF,Right,6,2018,72,165,ALLSVENSKAN,No Speciality
H. Kaldırım,28,Turkey,73,Fenerbahçe SK,Left,3,2020,72,165,SÜPER LIG,No Speciality
F. Monetti,29,Argentina,73,Atlético Nacional,Right,1,2023,71,168,0,Goalkeeper
K. Nababkin,31,Russia,73,PFC CSKA Moscow,Right,14,2020,72,170,REST OF WORLD,No Speciality
S. Williams,31,Republic of Ireland,73,Millwall,Left,7,2020,73,176,EFL CHAMPIONSHIP,No Speciality
M. Stępiński,23,Poland,73,Chievo Verona,Right,9,2021,72,159,SERIE A TIM,No Speciality
M. Pazdan,30,Poland,73,Legia Warszawa,Right,2,2019,71,172,EKSTRAKLASA,No Speciality
T. Al Jassam,33,Saudi Arabia,73,Al Wehda,Right,17,"Jun 30, 2019",67,152,SAUDI PROFESSIONAL LEAGUE,No Speciality
M. Heller,32,Germany,73,SV Darmstadt 98,Right,20,2020,69,154,0,Speedster
V. Pajot,27,France,73,Angers SCO,Right,6,2021,71,150,LIGUE 1 CONFORAMA,No Speciality
Y. Asad,23,Argentina,73,DC United,Right,22,"Dec 31, 2018",70,172,MLS,No Speciality
Y. Banana,26,Cameroon,73,Free Agent,Right,3,Free Agent,76,194,0,Strength
W. Montillo,34,Argentina,73,Club Atlético Tigre,Right,14,2019,68,157,0,No Speciality
L. Waldschmidt,22,Germany,73,SC Freiburg,Left,11,2022,71,165,BUNDESLIGA,No Speciality
Y. Makarenko,27,Ukraine,73,RSC Anderlecht,Left,5,2022,72,185,PRO LEAGUE,No Speciality
J. Mæhle,21,Denmark,73,KRC Genk,Right,31,2020,72,176,PRO LEAGUE,No Speciality
A. Reach,25,England,73,Sheffield Wednesday,Left,20,2021,73,161,0,No Speciality
Y. Ayhan,36,Turkey,73,MKE Ankaragücü,Right,2,2019,76,181,SÜPER LIG,No Speciality
N. Skubic,29,Slovenia,73,Atiker Konyaspor,Right,2,2019,70,165,0,No Speciality
Frédéric Mendy,29,Guinea Bissau,73,Vitória de Setúbal,Right,23,2020,76,181,0,No Speciality
D. Pizarro,38,Chile,73,Universidad de Chile,Right,8,2018,67,143,0,No Speciality
Pierrino Faria,30,Brazil,73,Santos,Right,1,2021,75,181,LIGA DO BRASIL,Goalkeeper
Adrián González,30,Spain,73,Málaga CF,Left,8,2020,72,172,LALIGA 1 | 2 | 3,No Speciality
F. Tobio,28,Argentina,73,Deportivo Toluca,Right,2,2019,73,187,0,No Speciality
R. Sigurðsson,32,Iceland,73,Free Agent,Right,6,Free Agent,74,170,0,No Speciality
K. Reichel,31,Germany,73,1. FC Union Berlin,Left,14,2020,73,183,0,No Speciality
Nivo Serpinho,34,Brazil,73,Chapecoense,Left,1,2021,73,172,LIGA DO BRASIL,Goalkeeper
M. Wagué,27,Mali,73,Udinese,Right,2,2019,75,192,SERIE A TIM,Strength
M. Klich,28,Poland,73,Leeds United,Right,8,2020,72,181,EFL CHAMPIONSHIP,No Speciality
A. Abdennour,28,Tunisia,73,Olympique de Marseille,Left,13,"Jun 30, 2019",74,185,LIGUE 1 CONFORAMA,No Speciality
B. Wood,25,United States,73,Hannover 96,Right,7,"Jun 30, 2019",71,174,BUNDESLIGA,No Speciality
Álex Pérez,26,Spain,73,Real Sporting de Gijón,Right,24,2020,75,185,0,Strength
G. Cano,30,Argentina,73,Independiente Medellín,Right,14,2018,69,159,0,No Speciality
I. Arboleda,22,Colombia,73,Club Atlético Banfield,Right,1,2020,73,168,0,Goalkeeper
A. Domínguez,31,Ecuador,73,Vélez Sarsfield,Right,22,2021,77,185,SAF,Goalkeeper
O. Kragl,28,Germany,73,Foggia,Left,11,2022,71,170,CALCIO B,No Speciality
José Rodríguez,23,Spain,73,Fortuna Sittard,Right,34,"Jun 30, 2019",71,165,EREDIVISIE,No Speciality
F. Pardo,27,Colombia,73,Olympiacos CFP,Right,90,2019,70,183,REST OF WORLD,No Speciality
R. Doan,20,Japan,73,FC Groningen,Left,7,2021,68,154,EREDIVISIE,No Speciality
O. Hiljemark,26,Sweden,73,Genoa,Right,15,2020,72,161,SERIE A TIM,Engine
J. McGinn,23,Scotland,73,Aston Villa,Left,7,2022,70,150,EFL CHAMPIONSHIP,No Speciality
V. Vada,22,Argentina,73,FC Girondins de Bordeaux,Right,23,2020,69,157,LIGUE 1 CONFORAMA,No Speciality
R. Halliche,31,Algeria,73,Moreirense FC,Right,23,2020,74,179,LIGA NOS,No Speciality
L. Marrone,28,Italy,73,Hellas Verona,Right,6,"Jun 30, 2019",73,165,CALCIO B,No Speciality
G. Cimirot,25,Bosnia Herzegovina,73,Standard de Liège,Right,8,2022,70,163,PRO LEAGUE,No Speciality
K. Wilczek,30,Poland,73,Brøndby IF,Left,20,2019,73,183,SUPERLIGA,No Speciality
João Amaral,26,Portugal,73,Lech Poznań,Left,24,2022,68,143,EKSTRAKLASA,No Speciality
R. Bengtsson,32,Sweden,73,Malmö FF,Right,17,2019,73,176,ALLSVENSKAN,No Speciality
E. Johansson,29,Sweden,73,Djurgårdens IF,Right,21,2022,76,196,ALLSVENSKAN,No Speciality
Hélder Lopes,29,Portugal,73,AEK Athens,Left,3,2019,70,146,REST OF WORLD,No Speciality
Serginho,24,Brazil,73,Kashima Antlers,Left,18,2020,71,181,MEIJI YASUDA J1,No Speciality
M. Linnes,26,Norway,73,Galatasaray SK,Right,17,2019,70,159,SÜPER LIG,No Speciality
S. Tibbling,23,Sweden,73,Brøndby IF,Right,12,2022,69,163,SUPERLIGA,No Speciality
S. Simič,23,Czech Republic,73,Milan,Right,56,2020,74,174,SERIE A TIM,No Speciality
W. Trapp,25,United States,73,Columbus Crew SC,Right,20,2019,68,150,MLS,No Speciality
N. Radonjić,22,Serbia,73,Olympique de Marseille,Right,7,2023,73,168,LIGUE 1 CONFORAMA,No Speciality
M. Sau,30,Italy,73,Cagliari,Right,25,2019,67,143,SERIE A TIM,No Speciality
J. Schieber,29,Germany,73,FC Augsburg,Left,20,2021,73,183,BUNDESLIGA,No Speciality
Botía,29,Spain,73,Al Hilal,Right,4,2020,74,212,SAUDI PROFESSIONAL LEAGUE,No Speciality
W. Kanon,24,Ivory Coast,73,ADO Den Haag,Left,5,2022,74,187,EREDIVISIE,No Speciality
Amilton,28,Brazil,73,CD Aves,Right,23,2020,68,146,0,No Speciality
J. Ito,25,Japan,73,Kashiwa Reysol,Right,14,2021,69,150,MEIJI YASUDA J1,No Speciality
Edgar Badía,26,Spain,73,CF Reus Deportiu,Right,13,2019,71,174,0,Goalkeeper
N. Penneteau,37,France,73,Sporting de Charleroi,Left,1,2019,73,190,0,Goalkeeper
V. Lazaro,22,Austria,73,Hertha BSC,Right,22,2021,70,165,BUNDESLIGA,No Speciality
V. Wormgoor,29,Netherlands,73,SK Brann,Right,3,2019,74,179,ELITESERIEN,No Speciality
A. Hunou,24,France,73,Stade Rennais FC,Right,23,2020,69,146,LIGUE 1 CONFORAMA,No Speciality
L. Gamba,31,Argentina,73,Club Atlético Huracán,Right,21,2023,67,154,SAF,No Speciality
Kim Seung Joon,23,Korea Republic,73,Ulsan Hyundai FC,Right,19,2019,71,161,0,No Speciality
R. Krhin,28,Slovenia,73,FC Nantes,Right,6,2020,74,179,LIGUE 1 CONFORAMA,No Speciality
J. Herrera,37,Chile,73,Universidad de Chile,Right,25,2019,72,192,0,Goalkeeper
B. Stancu,31,Romania,73,Bursaspor,Right,28,2019,72,165,SÜPER LIG,No Speciality
A. Tashaev,24,Russia,73,Spartak Moscow,Right,88,2022,70,165,REST OF WORLD,No Speciality
M. Frantz,31,Germany,73,SC Freiburg,Left,8,2020,72,179,BUNDESLIGA,No Speciality
R. Bezus,27,Ukraine,73,Sint-Truidense VV,Right,10,2019,73,181,0,No Speciality
Shin Hwa Yong,35,Korea Republic,73,Suwon Samsung Bluewings,Right,1,2018,72,172,0,Goalkeeper
R. Genevois,30,Haiti,73,Stade Malherbe Caen,Right,29,2019,72,174,LIGUE 1 CONFORAMA,No Speciality
M. Degenek,24,Australia,73,Free Agent,Right,2,Free Agent,74,181,0,No Speciality
Oswaldito Cuba,34,Brazil,73,Chapecoense,Left,5,2021,67,150,LIGA DO BRASIL,No Speciality
C. Rigamonti,31,Argentina,73,Belgrano de Córdoba,Right,23,2021,74,192,0,Goalkeeper
Wallace,30,Brazil,73,Göztepe SK,Right,25,2020,72,168,0,No Speciality
J. Kovařík,30,Czech Republic,73,Viktoria Plzeň,Left,19,2022,72,176,REST OF WORLD,No Speciality
Douglas Luiz,20,Brazil,73,Girona FC,Right,12,"Jun 30, 2019",70,154,LALIGA SANTANDER,No Speciality
V. Torosidis,33,Greece,73,Olympiacos CFP,Right,15,2021,72,181,REST OF WORLD,No Speciality
N. Isimat-Mirin,26,France,73,PSV,Right,2,2019,74,176,EREDIVISIE,No Speciality
Rúben Ferreira,28,Portugal,73,Clube Sport Marítimo,Left,17,2020,72,148,0,No Speciality
L. Gil,27,Argentina,73,Rosario Central,Left,5,2021,67,152,SAF,No Speciality
P. Diop,20,Spain,73,Olympique Lyonnais,Right,24,2022,71,150,LIGUE 1 CONFORAMA,No Speciality
Z. Machach,22,France,73,Carpi,Right,27,"Jun 30, 2019",72,170,CALCIO B,No Speciality
M. Bettinelli,26,England,73,Fulham,Right,1,2021,76,181,PREMIER LEAGUE,Goalkeeper
A. Peñaranda,21,Venezuela,73,Watford,Right,17,2023,73,183,PREMIER LEAGUE,No Speciality
K. Frei,24,Turkey,73,Medipol Başakşehir FK,Right,29,2021,67,154,SÜPER LIG,No Speciality
Sergi Samper,23,Spain,73,FC Barcelona,Right,16,2020,72,161,LALIGA SANTANDER,No Speciality
R. Lod,25,Finland,73,Real Sporting de Gijón,Left,7,2020,71,168,0,No Speciality
H. Saivet,27,Senegal,73,Bursaspor,Right,6,"Jun 30, 2019",69,168,SÜPER LIG,No Speciality
A. Regattin,26,Morocco,73,Akhisar Belediyespor,Right,34,2020,65,146,0,No Speciality
Mauro Cildinho,34,Brazil,73,Sport Club do Recife,Right,2,2021,68,141,0,No Speciality
J. Ikoko,24,DR Congo,73,En Avant de Guingamp,Right,2,2019,70,168,0,No Speciality
P. Chavarría,30,Argentina,73,Stade de Reims,Right,12,2019,73,163,LIGUE 1 CONFORAMA,No Speciality
R. Bennett,28,England,73,Wolverhampton Wanderers,Right,5,2020,74,172,PREMIER LEAGUE,No Speciality
K. Hansen,29,Denmark,73,FC Midtjylland,Right,2,2022,72,163,SUPERLIGA,No Speciality
S. Gürler,26,Turkey,73,SD Huesca,Right,7,2022,69,143,LALIGA SANTANDER,No Speciality
D. Dainelli,39,Italy,73,Livorno,Right,3,2019,75,172,CALCIO B,No Speciality
M. Mantovani,33,Argentina,73,UD Las Palmas,Right,21,2021,72,172,LALIGA 1 | 2 | 3,No Speciality
A. Zeneli,23,Kosovo,73,SC Heerenveen,Right,13,2019,69,159,EREDIVISIE,No Speciality
João Carvalho,21,Portugal,73,Nottingham Forest,Right,10,2023,67,146,0,No Speciality
N. Barazite,28,Netherlands,73,Yeni Malatyaspor,Right,21,2019,74,176,SÜPER LIG,No Speciality
M. Aguirregaray,29,Uruguay,73,Al Fateh,Right,17,2019,70,172,SAUDI PROFESSIONAL LEAGUE,No Speciality
A. Ricaurte,26,Colombia,73,Independiente Medellín,Left,10,2019,72,154,0,No Speciality
D. Randolph,31,Republic of Ireland,73,Middlesbrough,Right,23,2021,74,172,EFL CHAMPIONSHIP,Goalkeeper
Omar Ramos,30,Spain,73,Real Oviedo,Left,7,2020,69,146,0,No Speciality
D. Jensen,26,Denmark,73,FC Utrecht,Right,1,2019,77,203,EREDIVISIE,Goalkeeper
J. Duque,26,Colombia,73,Millonarios FC,Right,22,2020,69,150,0,No Speciality
E. Reynoso,22,Argentina,73,Boca Juniors,Left,30,2022,69,148,SAF,No Speciality
J. Elez,24,Croatia,73,Hannover 96,Right,2,2021,74,192,BUNDESLIGA,No Speciality
J. Gutiérrez,34,Argentina,73,Defensa y Justicia,Right,23,2022,72,183,0,No Speciality
M. Leye,35,Senegal,73,Royal Excel Mouscron,Right,18,2019,72,165,0,No Speciality
K. Naughton,29,England,73,Swansea City,Right,26,2020,71,161,EFL CHAMPIONSHIP,No Speciality
Caio Secco,27,Brazil,73,CD Feirense,Right,22,2019,76,194,LIGA NOS,Goalkeeper
B. Bianchi,29,Argentina,73,Atlético Tucumán,Right,2,2019,72,168,SAF,No Speciality
E. Barco,19,Argentina,73,Atlanta United,Right,8,2021,66,146,MLS,No Speciality
T. Leistner,27,Germany,73,Queens Park Rangers,Right,37,2021,75,198,0,No Speciality
R. Kishna,23,Netherlands,73,ADO Den Haag,Left,35,"Jun 30, 2019",72,170,EREDIVISIE,No Speciality
F. Bachirou,28,Comoros,73,Malmö FF,Right,7,2021,67,143,ALLSVENSKAN,Engine
K. Rezaei,26,Iran,73,Club Brugge KV,Right,10,2022,72,170,PRO LEAGUE,No Speciality
D. Vukovic,33,Australia,73,KRC Genk,Right,18,2019,74,218,PRO LEAGUE,Goalkeeper
R. Nouri,33,France,73,AC Ajaccio,Right,7,2019,70,161,DOMINO'S LIGUE 2,No Speciality
J. Gómez,24,Argentina,73,Club Atlético Lanús,Right,4,2021,68,139,0,Speedster
Y. Gouffran,32,France,73,Göztepe SK,Right,10,2019,69,168,0,No Speciality
Manu García,20,Spain,73,Toulouse Football Club,Right,22,"Jun 30, 2019",67,143,LIGUE 1 CONFORAMA,Dribbler
I. Köybaşı,28,Turkey,73,Fenerbahçe SK,Left,6,2019,70,154,SÜPER LIG,No Speciality
Juan Villar,30,Spain,73,CA Osasuna,Right,18,2021,72,159,LALIGA 1 | 2 | 3,No Speciality
Y. Namli,24,Denmark,73,PEC Zwolle,Left,21,2020,71,139,EREDIVISIE,No Speciality
G. Blanco,26,Argentina,73,Málaga CF,Right,9,2020,75,194,LALIGA 1 | 2 | 3,No Speciality
